0,title,rating,category,address,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
16,PZU Primaterapi,null,Physical therapy clinic,Maksim Gorki 8/3  Maksim Gorki  Skopje 1000  North Macedonia,primaterapi.com.mk,+389 2 322 3314,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,10AM-3PM,Closed,41.9970625,21.4264375
17,101 Hair Clinic,null,Medical clinic,Ljubljanska 6  Skopje 1000  North Macedonia,101hair.mk,+389 78 270 954,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-3PM,Closed,42.0059375,21.3925625
18,JZU UK za ocni bolesti,null,Ophthalmology clinic,Centar  Skopje 1000  North Macedonia,null,null,null,null,null,null,null,null,null,41.9953125,21.4245625
19,KinetoArt,5,Physical therapy clinic,Elisie Popovski Marko 57  Skopje 1000  North Macedonia,null,+389 77 749 509,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-8PM,10AM-8PM,41.9905625,21.4141875
20,Poliklinika Shkupi,5,Medical clinic,Brsjacka Buna br.22   Skopje 1000  North Macedonia,null,+389 2 614 8100,8AM-9PM,10AM-9PM,8AM-9PM,10AM-9PM,8AM-9PM,10AM-3PM,Closed,42.0344375,21.4266875
21,Clinic of Gastrointestinal Surgery,null,Medical clinic,Mother Teresa  Skopje 1000  North Macedonia,null,null,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9894375,21.4221875
22,University Clinic For Infectious Diseases & Febrile Conditions,1,Medical clinic,Mother Teresa 17  Skopje 1000  North Macedonia,infektivnaklinika.mk,+389 2 322 8224,null,null,null,null,null,null,null,41.9879375,21.4256875
23,Ultramedika,5,Medical Center,MK  Boulevard Ilinden 97  Skopje 1000  North Macedonia,ultramedica.com.mk,+389 2 306 7447,null,null,null,null,null,null,null,42.0061875,21.4149375
24,Centar za bolka masaza i telesno zdravje Dr. Mancheva,null,Physical therapy clinic,1/3  Volgogradska 4  Skopje 1000  North Macedonia,null,+389 77 646 064,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-3PM,Closed,42.0055625,21.3894375
25,101 Body Clinic,null,Medical clinic,Ljubljanska 6  Skopje 1000  North Macedonia,null,+389 78 270 954,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-3PM,Closed,42.0059375,21.3925625
26,Ortodoncija d-r Maja,4.7,Dental clinic,Orce Nikolov 142  Skopje 1000  North Macedonia,zk.mk,+389 2 317 8122,11AM-7PM,11AM-7PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,42.0039375,21.4161875
27,SeMed,5,Community health centre,MK  Bledski Dogovor 2  Skopje 1000  North Macedonia,null,+389 75 253 025,7:30AM-7:30PM,7:30AM-7:30PM,7:30AM-7:30PM,7:30AM-7:30PM,7:30AM-7:30PM,Closed,Closed,42.0029375,21.4021875
28,PZU Multimedika,null,Medical clinic,Mito Hadzivasilev Jasmin St  Skopje 1000  North Macedonia,null,+389 2 323 1882,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,Closed,Closed,41.9966875,21.4261875
29,Zan Mitrev Clinic,3.9,Hospital,Bledski Dogovor 8  Skopje 1000  North Macedonia,zmc.mk,+389 2 309 1484,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,42.0041875,21.4031875
30,Skinfinity,null,Skin care clinic,Jordan mijalkov 4 MK  Zgrada MedikaS 4 Kat  Skopje 1000  North Macedonia,skinfinity.mk,+389 70 228 143,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-3PM,Closed,41.9918125,21.4239375
31,Ordinanca Fizioterapeutike Neuro-Reha,5,Physical therapy clinic,Skopje 1000  North Macedonia,null,+389 71 728 908,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,Closed,42.0183125,21.4450625
32,JZU Orthopedic Clinic - Majchin Dom,3.8,Orthopedic clinic,Bulevar ASNOM  Skopje 1000  North Macedonia,null,+389 2 246 0559,7:30AM-3:30PM,7:30AM-3:30PM,7:30AM-3:30PM,7:30AM-3:30PM,7:30AM-3:30PM,Closed,Closed,41.9889375,21.4623125
33,Centar za mentalno zdravje,null,Mental health clinic,Blvd. Partizanski Odredi 55  Skopje 1000  North Macedonia,null,null,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,42.0010625,21.4125625
34,Ginekovita,5,Obstetrician-gynecologist,Bagdatska 36  (Borka Talevski 68/1)  Skopje 1000  North Macedonia,null,null,7AM-3PM,12-8PM,7AM-3PM,12-8PM,7AM-3PM,Closed,Closed,41.9978125,21.4090625
35,European Ophtalmology Clinic,4,Eye care center,Sremski Front 1  Skopje 1000  North Macedonia,eeh.mk,+389 2 205 0999,null,null,null,null,null,null,null,42.0043125,21.3450625
36,ELAN - Center for Therapy & Education,null,Physical therapy clinic,MK  Strasho Pindjur 7 / 1 - 6  Skopje 1000  North Macedonia,null,null,null,null,null,null,null,null,null,41.9910625,21.4439375
37,Endomak Dental Clinic Skopje,4.3,Dental clinic,Vladimir Komarov 18 a Lokal 8 MK  Skopje 1000  North Macedonia,endomak.mk,+389 2 245 6333,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,Closed,Closed,41.9888125,21.4528125
38,Dental Clinic Margita Smileva,4.8,Dental clinic,MK  Gancho Hadzipanzov 18  Skopje 1000  North Macedonia,dentalclinic.mk,+389 70 579 834,9AM-8:30PM,9AM-8:30PM,9AM-8:30PM,9AM-8:30PM,9AM-8:30PM,9AM-3PM,Closed,41.9923125,21.4100625
39,Sistina Ophthalmology,4.4,Hospital,MK  Skupi 5a  Skopje 1000  North Macedonia,sistinaoftalmologija.mk,+389 2 309 7000,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,42.0140625,21.4036875
40,Bela Dent,null,Dental clinic,Ivan Agovski Ivan Agovski  Skopje 1000  Ivan Agovski Ivan Agovski  Skopje 1000  North Macedonia,null,null,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,Closed,Closed,42.0019375,21.4114375
41,Viva Medika,5,Physical therapy clinic,Boulevard Kuzman Josifovski Pitu 15  Skopje 1000  North Macedonia,null,+389 2 246 7777,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,Closed,Closed,41.9895625,21.4495625
42,Dr.GoodNight,null,Sleep clinic,MK  Mother Teresa 35 1/1  Skopje 1000  North Macedonia,drgoodnight.mk,+389 75 455 454,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,41.9904375,21.4220625
43,Gaspar Centar,null,Mental health service,MK  Milan Markovich 48  Skopje 1000  North Macedonia,gasparcentar.com,+389 71 375 700,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-3PM,Closed,41.9934375,21.4010625
44,Dental Office Kotev Dr.Ane,null,Dental clinic,Kozle 93  Skopje 1000  North Macedonia,kotevdental.com.mk,+389 76 231 657,null,null,null,null,null,null,null,41.9950625,21.3944375
45,IN DENT - Family Dental Clinic,5,Dental clinic,Fevruarski Pohod 60 loc.2  Skopje 1000  North Macedonia,business.site,+389 70 696 201,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,9AM-2PM,Closed,41.9844375,21.4843125
46,Medikas,4.9,Medical Center,MK  Jordan Mijalkov 4  Skopje 1000  North Macedonia,medikas.com.mk,+389 2 324 6006,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,Closed,Closed,41.9919375,21.4238125
47,Stomatoloska ordinacija D-r Sanja Dent,null,Dental clinic,ul Vlae br. 56  Skopje 1000  North Macedonia,null,null,null,null,null,null,null,null,null,42.0073125,21.3753125
48,Titan dent,null,Dental clinic,Ivan Agovski 12  Skopje 1000  North Macedonia,null,null,null,null,null,null,null,null,null,42.0036875,21.4119375
49,Poliklinika Saraj Medikal,5,Medical clinic,Ul. 20 br.77  Skopje MK  1000  North Macedonia,null,+389 2 205 7775,null,null,null,null,null,null,null,41.9979375,21.3264375
50,Blvd Partizanski Odredi 113B,null,Dental clinic,MK  Blvd Partizanski Odredi 113B  Skopje 1000  North Macedonia,null,null,null,null,null,null,null,null,null,42.0028125,21.3911875
51,Prodenta Dental Practice,5,Dental clinic,Reonski Centar Aerodrom 1613str. 6/3 Skopje MK  1000  North Macedonia,prodenta.mk,+389 75 607 070,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,41.9805625,21.4715625
52,Dental clinic Dr.Kovacevska,5,Dental clinic,Mother Teresa 2  Skopje 1000  North Macedonia,null,+389 2 312 1011,9AM-7:30PM,9AM-7:30PM,9AM-7:30PM,9AM-7:30PM,9AM-7:30PM,9AM-2PM,Closed,41.9919375,21.4229375
53,Pop Acevi Dental Clinic,5,Dental clinic,8-mi Mart 8a  Skopje 1000  North Macedonia,null,+389 78 202 032,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,Closed,42.0020625,21.4246875
54,Psychotherapist Sinergija,5,Psychotherapist,Orce Nikolov 190 - 3/4  Skopje 1000  North Macedonia,institutsinergija.com,+389 70 257 783,9AM-2PM 5-9PM,9AM-2PM 5-9PM,9AM-2PM 5-9PM,9AM-2PM 5-9PM,9AM-2PM 5-9PM,Closed,Closed,42.0060625,21.4076875
55,Polyclinic Dr Lozankovski,4,Doctor,Veljko Vlahovic 16 a-1  Skopje 1000  North Macedonia,lozankovski.com.mk,+389 2 312 0017,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,41.9960625,21.4271875
56,Neokorteks-Centar za Psihoterapija Psihodijagnostika Trening i Edukacija,5,Psychologist,Bul. Jane Sandanski Br. 11 1/25 MK  Skopje 1000  North Macedonia,neocortex.mk,+389 75 273 768,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,41.9898125,21.4603125
57,Ordinanca Stomatologjike F-Dent,5,Dental clinic,MK  John Kennedy 27-1/1  Skopje 1000  North Macedonia,null,+389 70 532 343,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,Closed,Closed,42.0128125,21.4343125
58,"Dental Polyclinic ""GJORGJIOSKI""",null,Dental clinic,Boulevard 3-ta Makedonska Brigada br.31-1/2  Skopje 1000  North Macedonia,spg.mk,+389 2 247 0048,8:30AM-8PM,8:30AM-8PM,8:30AM-8PM,8:30AM-8PM,8:30AM-8PM,Closed,Closed,41.9845625,21.4498125
59,PZU Tvoe Zdravje,4.8,Doctor,CHEDOMIR MINDEROVIK  Skopje  North Macedonia,null,+389 72 603 232,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,9AM-2PM,Closed,41.9994375,21.4258125
60,Kognicija,null,Psychologist,Varsavska  Skopje 1000  North Macedonia,kognicija.mk,+389 70 249 494,null,null,null,null,null,null,null,41.9995625,21.4009375
61,Dental office,null,Dental clinic,Bul. Partizanski Odredi  Skopje 1000  North Macedonia,null,+389 2 306 2090,null,null,null,null,null,null,null,42.0031875,21.4005625
62,PZU NUR-Specijalisticka Ordinacija Po Fizikalna Medicina I Rehabilitacija,5,Physical therapy clinic,Metodija Andonov - Chento  Skopje  North Macedonia,null,+389 75 461 112,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,42.0120625,21.5099375
63,Biostart DOOEL Skopje,null,Diagnostic center,Ul. Makedonija No. 22/2  Skopje 1000  North Macedonia,biostart.mk,+389 2 311 1595,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,41.9949375,21.4313125
64,NOVA DENTAL GROUP,4,Dental clinic,Skopje 1000  North Macedonia,novadental.com.mk,+389 2 206 0666,null,null,null,null,null,null,null,42.0079375,21.3686875
65,PZU ANADENT D-R GENCHOVSKA,5,Dental clinic,Sava Kovachevikj  Portokalova zgrada Ilinden Cesma  Kisela voda br1 lamela 1  lokal 3  Skopje 1000 Skopje MK  1000  North Macedonia,null,+389 78 335 010,11:30AM-7:30PM,11:30AM-7:30PM,11:30AM-7:30PM,11:30AM-7:30PM,9AM-5PM,Closed,Closed,41.9850625,21.4389375
66,Medodent Dental Clinic,null,Dental clinic,Arhiepiskop Dositej 18a  Skopje 1000  North Macedonia,null,+389 2 261 4722,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-2PM,Closed,42.0203125,21.4399375
67,Mediana Dental,5,Dental clinic,Salvador Aljende 73/1  Todor Aleksandrov 85/1  Skopje 1000  North Macedonia,medianadental.com,+389 2 317 6003,Open 24 hours,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,12-5PM,Closed,41.9833125,21.4223125
68,Dento-Medical,5,Dental clinic,Karposh  Skopje 1000  North Macedonia,null,null,null,null,null,null,null,null,null,42.0040625,21.3851875
69,VEGA Smile Solutions,5,Dental clinic,MK  Kozara 33  Skopje 1000  North Macedonia,vega.mk,+389 2 321 0222,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,41.9913125,21.4175625
70,Dr. Dzambazovski Clinic,null,Medical clinic,ul.52  Volkovo  North Macedonia,null,null,null,null,null,null,null,null,null,42.0346875,21.3424375
71,PZU Helio Medika 2,5,Mental health service,Bul J.Sandanski 59 Skopje MK  1000  North Macedonia,business.site,+389 2 245 5884,null,null,null,null,null,null,null,41.9970625,21.4036875
72,Dr. Nedevi,4,Dental clinic,MK  Stiv Naumov 102-б  Skopje 1000  North Macedonia,fb.me,+389 70 255 231,9AM-4PM,9AM-4PM,9AM-4PM,9AM-4PM,9AM-4PM,9AM-12PM,Closed,41.9903125,21.4365625
73,Slavej,null,Orthotics & prosthetics service,Vasil Gjorgov 47  Skopje 1000  North Macedonia,slavej.mk,+389 2 321 7633,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,41.9931875,21.4114375
74,Centar za Bioinformatika,5,Hospital,Todor Aleksandrov 111  Skopje 1000  North Macedonia,bioinformatics.mk,+389 78 364 499,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,41.9756875,21.4066875
75,Pro-Ortos Medical,null,Orthotics & prosthetics service,MK  Mother Teresa 35 lok.1  Skopje 1000  North Macedonia,business.site,+389 75 276 357,null,null,null,null,null,null,null,41.9904375,21.4220625
76,Dentina,5,Dental clinic,MK  Resenska 3  Skopje 1000  North Macedonia,null,+389 2 263 5222,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,Closed,42.0200625,21.4411875
77,Medika Centar,5,Vascular surgeon,Skupi 22  Skopje 1000  North Macedonia,null,+389 2 309 5090,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,42.0180625,21.3826875
78,"Dental clinic with laboratory ""DENTICIJA""",null,Dental clinic,MK  Vasil Gjorgov 18/2-5  Skopje 1000  North Macedonia,null,+389 2 311 8435,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-1PM,Closed,41.9928125,21.4183125
79,DrAfrim,2,Dental clinic,Skopje 1000  North Macedonia,drafrim.com,+389 2 261 8614,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,Closed,Closed,42.0054375,21.4416875
80,Eterna LHC,5,Dental clinic,Orce Nikolov 190 1/1  Skopje 1000  North Macedonia,eternalhc.mk,+389 2 309 1470,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,9AM-2PM,Closed,42.0058125,21.4074375
81,Licina Dent,null,Dental clinic,MK  Vtora Makedonska Brigada 80  Skopje 1000  North Macedonia,null,+389 2 613 8662,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-3PM,Closed,42.0221875,21.4371875
82,Dental Care Dr. Lukanoski,4.7,Dental clinic,TC Leptokarija  Nikola Rusinski 3b  Skopje 1000  North Macedonia,lukanoski.mk,+389 2 307 9958,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-2PM,Closed,42.0040625,21.3979375
83,OMNIDENT,null,Dental clinic,Chedomir Minderovik 30  Skopje 1000  North Macedonia,null,+389 70 267 002,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,41.9999375,21.4249375
84,Farmakologija,null,Medical diagnostic imaging center,Unnamed Road  Skopje 1000  North Macedonia,null,null,null,null,null,null,null,null,null,41.9903125,21.4238125
85,Mandala - Psiholoshko Katche,null,Psychotherapist,37 1-6  Hristo Smirnenski  Skopje 1000  North Macedonia,psiholoshkokatche.mk,+389 72 311 677,12-8PM,12-8PM,12-8PM,12-8PM,12-8PM,Closed,Closed,41.9968125,21.4146875
86,EM-Dent&Emergjenca&Em-Farm (Dr.Xhaferi),5,Medical clinic,Street 4 MK  1052  North Macedonia,null,+389 70 903 057,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-5PM,10:30AM-5PM,41.9229375,21.5325625
87,D-r Lukic,null,Dental clinic,Blvd. Partizanski Odredi 87  Skopje 1000  North Macedonia,lukic.mk,+389 2 306 6198,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,42.0015625,21.4049375
88,Promedika Oftalmologija,null,Eye care center,Ss Cyril & Methodius 50  Skopje 1000  North Macedonia,null,null,null,null,null,null,null,null,null,41.9930625,21.4256875
89,PHI Veritas Medikus,null,Children Policlinic,Ruger Boshkovikj 10  Skopje 1000  North Macedonia,null,null,null,null,null,null,null,null,null,42.0036875,21.4121875
90,Getaldus,null,Eye care center,Moskovska 5  Skopje 1000  North Macedonia,getaldus.mk,+389 2 322 2190,null,null,null,null,null,null,null,42.0016875,21.3904375
91,Meri-Dent,null,Dental clinic,Skopje 1000  North Macedonia,null,+389 2 311 4130,11AM-6:30PM,11AM-6:30PM,11AM-6:30PM,11AM-6:30PM,11AM-6:30PM,Closed,Closed,41.9998125,21.4386875
92,Stomatoloska ordinacija Carcev-Cortanoski,4.7,Dental clinic,ul. 6  lok 2  Varsavska  Skopje 1000  North Macedonia,ccdent.mk,+389 72 270 553,8:30AM-7:30PM,8:30AM-7:30PM,8:30AM-7:30PM,8:30AM-7:30PM,8:30AM-7:30PM,Closed,Closed,42.0001875,21.4030625
93,PZU D-r Milanovski,null,Dental clinic,MK  Boulevard Jane Sandanski  Skopje 1000  North Macedonia,null,+389 78 218 457,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,Closed,Closed,41.9830625,21.4683125
94,BIOTEK Laboratory,4.8,Medical laboratory,MK  Vasil Gjorgov no.12  Skopje 1000  North Macedonia,bioteklab.com.mk,+389 78 394 829,7:30AM-4PM,7:30AM-4PM,7:30AM-4PM,7:30AM-4PM,7:30AM-4PM,8AM-3PM,Closed,41.9925625,21.4213125
95,PZU LAZARUS,null,Psychiatrist,Mother Teresa 6  Skopje 1000  North Macedonia,null,+389 2 616 6880,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,41.9996875,21.4144375
96,PZU Mircevi - Terziovski,null,Dental clinic,Mirche Orovchanec 1  Skopje 1000  North Macedonia,null,+389 2 324 5270,8AM-4PM,12-8PM,12-8PM,8AM-4PM,8AM-4PM,Closed,Closed,41.9998125,21.4138125
97,Dental office D-r Alabakovski,null,Dental clinic,st.Roza Luksemburg no. 19  Skopje 1000  North Macedonia,null,+389 2 204 6405,null,null,null,null,null,null,null,41.9953125,21.4156875
98,Dentamed D-r Kemal Huseinoski,null,Dental clinic,ul. Kosturska broj 2 / 3 - 4 Skopje MK  1000  North Macedonia,dentamed.eu.mk,+389 75 259 125,null,null,null,null,null,null,null,42.0235625,21.4440625
99,Stomatoloska ordinacija D-r Nina,4.3,Dental clinic,Bulevar ASNOM lokal 9  Skopje 1000  North Macedonia,drnina.mk,+389 2 243 0188,null,null,null,null,null,null,null,41.9889375,21.4680625
100,Psychotherapy Services,null,Psychotherapist,MK  Nikola Parapunov 11  Skopje 1000  North Macedonia,null,+389 75 665 449,null,null,null,null,null,null,null,42.0056875,21.3824375
101,Stomatološka ordinacija HAMI AKUDENT,5,Dental clinic,Boulevard Krste Petkov Misirkov 13/5  Skopje 1000  North Macedonia,null,+389 70 843 451,8:30AM-7PM,8:30AM-7PM,8:30AM-7PM,8:30AM-7PM,8:30AM-7PM,9AM-3PM,Closed,42.0004375,21.4394375
102,Magniflex,4.8,Mattress store,Naum Naumovski Borche 87a  Skopje 1000  North Macedonia,magniflex.com.mk,+389 78 700 222,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,9AM-4:30PM,Closed,42.0020625,21.4229375
103,Dental Tourism Macedonia,null,Dental clinic,MK  Pandil Shishkov 10  Skopje 1000  North Macedonia,dentaltourismmacedonia.com,+389 78 379 217,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,11AM-8PM,Closed,41.9854375,21.4511875
104,Atlas Relax,1,Medical group,Blvd. Partizanski Odredi 155  Skopje 1000  North Macedonia,null,+389 70 999 141,null,null,null,null,null,null,null,42.0079375,21.3688125
105,PZU Dr.Efrem Trpkov,5,Dental clinic,Koce Metalec 1gj  Koce Metalec  Skopje 1000  North Macedonia,null,+389 70 367 333,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,42.0096875,21.4599375
106,PZU Dr Ilija Karamanov,5,Dental clinic,MK  Hristo Tatarchev 47 Skopje 1000  North Macedonia,null,+389 75 277 599,8:30AM-7:30PM,8:30AM-7:30PM,8:30AM-3PM,8:30AM-7:30PM,8:30AM-7:30PM,Closed,Closed,41.9766875,21.4444375
107,Derman Dent,5,Dental clinic,MK  John Kennedy 9B  Skopje 1000  North Macedonia,dermandent.com,+389 2 261 4664,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,10AM-2PM,Closed,42.0130625,21.4379375
108,Psychotherapist Aspekti Skopje,5,Psychotherapist,Mother Teresa 44  Skopje 1000  North Macedonia,aspekti.mk,+389 71 878 706,null,null,null,null,null,null,null,41.9891875,21.4186875
109,PZU DENTONIK,4,Dental clinic,Bul. Vidoe Smilevski Bato 3 Lokal 7 MK  1000  North Macedonia,null,+389 70 517 400,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,41.9824375,21.4726875
110,Karadent Skopje,5,Dental clinic,Frederic Chopin 12  Skopje 1000  North Macedonia,karadent.mk,+389 2 311 2989,8:45AM-8PM,8:45AM-8PM,8:45AM-8PM,8:45AM-8PM,8:45AM-8PM,8:45AM-1:30PM,Closed,41.9861875,21.4319375
111,DALIJA - Stomatoloshka Ordinacija,5,Dental clinic,Moskovska 7 - lokal 5  Skopje 1000  North Macedonia,null,+389 70 749 787,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,Closed,42.0019375,21.3901875
112,Avicena Laboratory,4.4,Medical laboratory,Boulevard 8-mi Septemvri  Skopje 1000  North Macedonia,avicenalab.com.mk,+389 2 317 9001,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7PM,Closed,41.9976875,21.4041875
