0,title,rating,category,address,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
77,Viola - Vodno,3,Pharmacy,Vodnjanska 28b ,viola.com.mk,+389 2 317 6444,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-8PM,Closed,41.9899375,21.4196875
78,Apteka Vita Farm,5,Pharmacy,John Kennedy 25 ,null,+389 2 263 9000,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,42.0129375,21.4356875
79,DNA Anni Farm - Hrom,4.8,Pharmacy,Isaija Mazovski 44 ,annifarm.mk,+389 2 204 4287,7AM-8PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-3PM,Closed,42.0064375,21.3678125
80,Eurofarm - Ramstore,3.7,Pharmacy,Ulica Mito Hadzivasilev Jasmin,eurofarm.com.mk,+389 2 329 6114,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,41.9918125,21.4273125
81,Eurofarm,null,Pharmacy,Bulevar Mitropolit Teodosij Gologanov 49 ,null,null,null,null,null,null,null,null,null,41.9948125,21.4213125
82,Eurofarm,4.5,Pharmacy,50-ta Devizija ,eurofarm.com.mk,+389 2 310 7800,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,8AM-2PM,Closed,41.9903125,21.4254375
83,Marija,null,Pharmacy,Gjorche Petrov ,null,+389 2 203 6508,null,null,null,null,null,null,null,42.0064375,21.3520625
84,Family Pharmacy,5,Pharmacy,Krste Arsenov 3,null,null,null,null,null,null,null,null,null,42.0171875,21.4450625
85,Eurofarm,4.8,Pharmacy,Mirce Acev 2 ,eurofarm.com.mk,+389 2 320 9696,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9936875,21.4360625
86,Datel Farma,null,Pharmacy,Blagoje Parovikj Stara Devetka,null,+389 2 261 2536,null,null,null,null,null,null,null,42.0159375,21.4344375
87,Betty,2,Pharmacy,Bulevar Krste Petkov Misirkov 13 ,null,null,null,null,null,null,null,null,null,42.0011875,21.4395625
88,Eurofarm - Vero Centar,3.5,Pharmacy,Bulevar Kocho Racin ,eurofarm.com.mk,+389 2 310 0400,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,41.9931875,21.4416875
89,Berna Farm,3,Pharmacy,Cvetan Dimov,null,null,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,42.0121875,21.4453125
90,Gold min 7,null,Pharmacy,Vtora Makedonska Brigada,null,null,null,null,null,null,null,null,null,42.0220625,21.4368125
91,Sara Farm,4.3,Pharmacy,Boris Trajkovski ,m.facebook.com,+389 2 277 8709,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-6PM,Closed,41.9829375,21.4394375
92,Eurofarm,4.3,Pharmacy,Anton Popov 5 ,eurofarm.com.mk,+389 2 551 4501,null,null,null,null,null,null,null,41.9871875,21.4331875
93,Zegin - Sv.Petka,4,Pharmacy,Boris Trajkovski ,zegin.com.mk,+389 2 277 2086,7AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-4PM,41.9851875,21.4376875
94,Eurofarm,null,Pharmacy,Maksim Gorki 8 ,aptekieurofarm.com.mk,+389 2 311 1522,8-9AM,8-9AM,8-9AM,8-9AM,8-9AM,8:30AM-8:30AM,Closed,41.9959375,21.4296875
95,Zegin - Centar 2,5,Pharmacy,Bulevar Sveti Kliment Ohridski 63,zegin.com.mk,+389 2 312 5832,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-5PM,Closed,41.9953125,21.4248125
96,Zemjodelska Apteka - Rampa Kisela Voda,5,Pharmacy,11-ti Oktomvri ,null,+389 75 458 086,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-4PM,8AM-4PM,41.9873125,21.4368125
97,Eurofarm,4.5,Pharmacy,Skopje,eurofarm.com.mk,+389 2 322 1052,null,null,null,null,null,null,null,41.9905625,21.4331875
98,Zegin,3.7,Pharmacy,Bulevar Kuzman Josifovski Pitu ,zegin.com.mk,+389 2 246 5556,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,41.9909375,21.4461875
99,Zegin - Shuto Orizari,4.8,Pharmacy,Skopje,zegin.com.mk,+389 2 265 6679,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Closed,42.0408125,21.4240625
100,Zegin - Gjorch?e Petrov 2,4.7,Pharmacy,Gjorche Petrov 60 ,zegin.com.mk,+389 2 203 7761,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-9PM,42.0065625,21.3556875
101,Eurofarm,null,Pharmacy,11-ti Oktomvri ,eurofarm.com.mk,+389 2 316 3202,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,41.9895625,21.4360625
102,Zegin - Kisela Voda 1,4.3,Pharmacy,Boris Trajkovski ,zegin.com.mk,+389 2 272 4174,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,41.9806875,21.4414375
103,Biofit - Kisela Voda,5,Pharmacy,Vostanichka 48 ,null,+389 2 273 5010,null,null,null,null,null,null,null,41.9835625,21.4295625
104,Apteka Artemizia,null,Pharmacy,Vidoe Smilevski Bato 9 ,null,+389 2 243 0690,null,null,null,null,null,null,null,41.9823125,21.4739375
105,Zegin - Avtokomanda 1,4.5,Pharmacy,Jani Lukrovski 2 ,zegin.com.mk,+389 2 312 2060,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-9PM,42.0016875,21.4608125
106,Viola 24/7,4.7,Pharmacy,Bulevar Jane Sandanski ,viola.com.mk,+389 2 246 6103,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9878125,21.4528125
107,Eurolek,null,Pharmacy,Vizbegovo,null,null,8AM-4AM,8AM-4AM,8AM-4AM,8AM-4AM,8AM-4AM,Closed,Closed,42.0353125,21.4015625
108,Zegin - MIA,4.2,Pharmacy,Bihacka ,zegin.com.mk,null,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,41.9869375,21.4308125
109,Vivalek,3.5,Pharmacy,Skopje,null,+389 2 261 7740,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-8PM,Closed,42.0115625,21.4594375
110,Molika,null,Pharmacy,Arhitekt Nikola Dobrovik 1 ,null,null,null,null,null,null,null,null,null,41.9790625,21.4449375
111,Andrea Lek,5,Pharmacy,11-ti Oktomvri,null,null,null,null,null,null,null,null,null,41.9873125,21.4368125
112,Capa,null,Pharmacy,Boris Trajkovski 2 ,null,null,null,null,null,null,null,null,null,41.9829375,21.4395625
113,Zegin - Kisela Voda,3,Pharmacy,Ivan Kozarov ,null,null,null,null,null,null,null,null,null,41.9829375,21.4388125
114,Datel Farma,null,Pharmacy,Vangel Todorovski 5 ,lm.facebook.com,+389 2 512 6554,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-8PM,9AM-2:30PM,41.9846875,21.4546875
115,Zegin - Tobaco,4.9,Pharmacy,Bulevar Jane Sandanski ,zegin.com.mk,+389 2 246 3239,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,8AM-12AM,8AM-10PM,41.9878125,21.4533125
116,Aloe,null,Pharmacy,Gjorche Petrov 40,null,+389 2 203 9915,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,9AM-3PM,42.0069375,21.3601875
117,Zegin - Vlae,4.7,Pharmacy,Gjorche Petrov ,zegin.com.mk,+389 2 306 4330,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,42.0071875,21.3681875
118,Veterinary Hospital,4.1,Veterinary pharmacy,Skopje,null,+389 2 311 5756,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,9AM-5PM,42.0033125,21.4594375
119,Zegin,4,Pharmacy,Hristijan Todorovski ,null,null,null,null,null,null,null,null,null,42.0206875,21.4478125
120,Eurofarm,null,Pharmacy,11-ti Oktomvri,eurofarm.com.mk,+389 2 322 1052,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-2PM,41.9919375,21.4339375
121,Zegin - Kisela Voda 2,4.7,Pharmacy,Hristo Tatarchev ,zegin.com.mk,+389 2 277 1559,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-9PM,41.9755625,21.4439375
122,Lincura,5,Pharmacy,Skopje,null,null,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,41.9865625,21.4781875
123,Makmedica,5,Pharmacy,Skopje,null,+389 2031082,8:30AM-9:45PM,8AM-9:45PM,8AM-9:45PM,8AM-9:45PM,8AM-9:45PM,8AM-9:45PM,8:30AM-1:30PM,42.0071875,21.3688125
124,Zegin - Capitol,4.5,Pharmacy,Skopje,zegin.com.mk,+389 2 245 5892,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,Closed,41.9869375,21.4668125
125,Zegin - Novo Lisiche,4.3,Pharmacy,Skopje,zegin.com.mk,+389 2 240 3213,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-9PM,8AM-4PM,41.9820625,21.4736875
126,Eurofarm - Volkovo,5,Pharmacy,Volkovo,null,null,8AM-8:30PM,8AM-8:30PM,8AM-8:30PM,8AM-8:30PM,8AM-8:30PM,8AM-8:30PM,8AM-2:30PM,42.0379375,21.3488125
127,Zegin - Biser,4.8,Pharmacy,Bulevar Jane Sandanski 24 Lokal 6 ,zegin.com.mk,+389 2 240 3237,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,41.9870625,21.4626875
128,Zegin - Dame Gruev,4.2,Pharmacy,Luka Gerov,zegin.com.mk,+389 2 205 0830,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0164375,21.3570625
129,Zegin - Aerodrom,4.7,Pharmacy,Bulevar Jane Sandanski 109/2 ,zegin.com.mk,+389 2 244 7722,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-9PM,41.9849375,21.4690625
130,Medikon,null,Pharmacy,Boris Trajkovski 7 ,null,+389 2 311 3176,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,41.9703125,21.4693125
131,DNA Anni Farm Pharmacy,5,Pharmacy,Bulevar Jane Sandanski 71 ,annifarm.mk,+389 2 244 5935,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,41.9859375,21.4664375
132,Zegin,5,Pharmacy,Bulevar Vidoe Smilevski Bato 2a Lokal 5 ,zegin.com.mk,+389 2 245 8107,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-6PM,Closed,41.9804375,21.4724375
133,Eurofarm - SP Planet,null,Pharmacy,Bukureska 8 ,eurofarm.com.mk,+389 2 203 1508,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-2PM,42.0069375,21.3651875
