title,subtitle,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,isClaimed,latitude,longitude,query,timestamp
PZU Multimedika,,,,Medical clinic,,Mito Hadzivasilev Jasmin St  Skopje 1000  North Macedonia,XCWG+MF Skopje North Macedonia,,+389 2 323 1882,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,Closed,Closed,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9966875,21.4261875,,2020-11-09T09:34:06.771Z
Zan Mitrev Clinic,,3.9,93,Hospital,,Bledski Dogovor 8  Skopje 1000  North Macedonia,2C33+M7 Skopje North Macedonia,zmc.mk,+389 2 309 1484,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,TRUE,42.0041875,21.4031875,,2020-11-09T09:34:08.337Z
Skinfinity,,,,Skin care clinic,,Jordan mijalkov 4 MK  Zgrada MedikaS 4 Kat  Skopje 1000  North Macedonia,XCRF+PH Skopje North Macedonia,skinfinity.mk,+389 70 228 143,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-3PM,Closed,,TRUE,41.9918125,21.4239375,,2020-11-09T09:34:10.272Z
Ordinanca Fizioterapeutike Neuro-Reha,,5,2,Physical therapy clinic,,Skopje 1000  North Macedonia,2C9W+82 Skopje North Macedonia,,+389 71 728 908,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,Closed,,FALSE,42.0183125,21.4450625,,2020-11-09T09:34:11.773Z
JZU Orthopedic Clinic - Majchin Dom,,3.8,5,Orthopedic clinic,,Bulevar ASNOM  Skopje 1000  North Macedonia,XFQ6+HW Skopje North Macedonia,,+389 2 246 0559,7:30AM-3:30PM,7:30AM-3:30PM,7:30AM-3:30PM,7:30AM-3:30PM,7:30AM-3:30PM,Closed,Closed,,FALSE,41.9889375,21.4623125,,2020-11-09T09:34:13.505Z
Centar za mentalno zdravje,,,,Mental health clinic,,Blvd. Partizanski Odredi 55  Skopje 1000  North Macedonia,2C27+C2 Skopje North Macedonia,,,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,,FALSE,42.0010625,21.4125625,,2020-11-09T09:34:14.916Z
Ginekovita,,5,13,Obstetrician-gynecologist,,Bagdatska 36  (Borka Talevski 68/1)  Skopje 1000  North Macedonia,XCX5+4J Skopje North Macedonia,,,7AM-3PM,12-8PM,7AM-3PM,12-8PM,7AM-3PM,Closed,Closed,,TRUE,41.9978125,21.4090625,,2020-11-09T09:34:16.280Z
European Ophtalmology Clinic,,4,54,Eye care center,,Sremski Front 1  Skopje 1000  North Macedonia,283W+P2 Skopje North Macedonia,eeh.mk,+389 2 205 0999,,,,,,,,,FALSE,42.0043125,21.3450625,,2020-11-09T09:34:17.792Z
ELAN - Center for Therapy & Education,,,,Physical therapy clinic,,MK  Strasho Pindjur 7 / 1 - 6  Skopje 1000  North Macedonia,XCRV+CH Skopje North Macedonia,,,,,,,,,,,FALSE,41.9910625,21.4439375,,2020-11-09T09:34:19.201Z
Endomak Dental Clinic Skopje,,4.3,35,Dental clinic,,Vladimir Komarov 18 a Lokal 8 MK  Skopje 1000  North Macedonia,XFQ3+G4 Skopje North Macedonia,endomak.mk,+389 2 245 6333,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,Closed,Closed,,TRUE,41.9888125,21.4528125,,2020-11-09T09:34:21.202Z
Dental Clinic Margita Smileva,,4.8,30,Dental clinic,,MK  Gancho Hadzipanzov 18  Skopje 1000  North Macedonia,XCR6+W2 Skopje North Macedonia,dentalclinic.mk,+389 70 579 834,9AM-8:30PM,9AM-8:30PM,9AM-8:30PM,9AM-8:30PM,9AM-8:30PM,9AM-3PM,Closed,,TRUE,41.9923125,21.4100625,,2020-11-09T09:34:22.770Z
Sistina Ophthalmology,,4.4,25,Hospital,,MK  Skupi 5a  Skopje 1000  North Macedonia,2C73+JF Skopje North Macedonia,sistinaoftalmologija.mk,+389 2 309 7000,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,,TRUE,42.0140625,21.4036875,,2020-11-09T09:34:24.751Z
Bela Dent,,,,Dental clinic,,Ivan Agovski Ivan Agovski  Skopje 1000  Ivan Agovski Ivan Agovski  Skopje 1000  North Macedonia,2C26+QH Skopje North Macedonia,,,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,Closed,Closed,,FALSE,42.0019375,21.4114375,,2020-11-09T09:34:27.650Z
Viva Medika,,5,5,Physical therapy clinic,,Boulevard Kuzman Josifovski Pitu 15  Skopje 1000  North Macedonia,XCQX+RR Skopje North Macedonia,,+389 2 246 7777,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,Closed,Closed,,FALSE,41.9895625,21.4495625,,2020-11-09T09:34:29.230Z
Dr.GoodNight,,,,Sleep clinic,,MK  Mother Teresa 35 1/1  Skopje 1000  North Macedonia,XCRC+5R Skopje North Macedonia,drgoodnight.mk,+389 75 455 454,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,,TRUE,41.9904375,21.4220625,,2020-11-09T09:34:30.645Z
Gaspar Centar,,,,Mental health service,,MK  Milan Markovich 48  Skopje 1000  North Macedonia,XCV2+9C Skopje North Macedonia,gasparcentar.com,+389 71 375 700,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-3PM,Closed,,TRUE,41.9934375,21.4010625,,2020-11-09T09:34:32.122Z
Dental Office Kotev Dr.Ane,,,,Dental clinic,,Kozle 93  Skopje 1000  North Macedonia,X9WV+2Q Skopje North Macedonia,kotevdental.com.mk,+389 76 231 657,,,,,,,,,FALSE,41.9950625,21.3944375,,2020-11-09T09:34:33.534Z
IN DENT - Family Dental Clinic,,5,4,Dental clinic,,Fevruarski Pohod 60 loc.2  Skopje 1000  North Macedonia,XFMM+QP Skopje North Macedonia,business.site,+389 70 696 201,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,9AM-2PM,Closed,,TRUE,41.9844375,21.4843125,,2020-11-09T09:34:35.409Z
Medikas,,4.9,10,Medical Center,,MK  Jordan Mijalkov 4  Skopje 1000  North Macedonia,XCRF+QG Skopje North Macedonia,medikas.com.mk,+389 2 324 6006,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,Closed,Closed,,TRUE,41.9919375,21.4238125,,2020-11-09T09:34:37.028Z
Stomatoloska ordinacija D-r Sanja Dent,,,,Dental clinic,,ul Vlae br. 56  Skopje 1000  North Macedonia,294G+W4 Skopje North Macedonia,,,,,,,,,,,FALSE,42.0073125,21.3753125,,2020-11-09T09:34:38.532Z
Titan dent,,,,Dental clinic,,Ivan Agovski 12  Skopje 1000  North Macedonia,2C36+FQ Skopje North Macedonia,,,,,,,,,,,FALSE,42.0036875,21.4119375,,2020-11-09T09:34:39.905Z
Poliklinika Saraj Medikal,,5,1,Medical clinic,,Ul. 20 br.77  Skopje MK  1000  North Macedonia,X8XG+5H Skopje North Macedonia,,+389 2 205 7775,,,,,,,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9979375,21.3264375,,2020-11-09T09:34:41.842Z
Blvd Partizanski Odredi 113B,,,,Dental clinic,,MK  Blvd Partizanski Odredi 113B  Skopje 1000  North Macedonia,293R+4F Skopje North Macedonia,,,,,,,,,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,42.0028125,21.3911875,,2020-11-09T09:34:43.392Z
Prodenta Dental Practice,,5,2,Dental clinic,,Reonski Centar Aerodrom 1613str. 6/3 Skopje MK  1000  North Macedonia,XFJC+6J Skopje North Macedonia,prodenta.mk,+389 75 607 070,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,,TRUE,41.9805625,21.4715625,,2020-11-09T09:34:44.903Z
Dental clinic Dr.Kovacevska,,5,10,Dental clinic,,Mother Teresa 2  Skopje 1000  North Macedonia,XCRF+Q5 Skopje North Macedonia,,+389 2 312 1011,9AM-7:30PM,9AM-7:30PM,9AM-7:30PM,9AM-7:30PM,9AM-7:30PM,9AM-2PM,Closed,,TRUE,41.9919375,21.4229375,,2020-11-09T09:34:46.934Z
Pop Acevi Dental Clinic,,5,1,Dental clinic,,8-mi Mart 8a  Skopje 1000  North Macedonia,2C2F+RV Skopje North Macedonia,,+389 78 202 032,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,Closed,,TRUE,42.0020625,21.4246875,,2020-11-09T09:34:48.505Z
Psychotherapist Sinergija,,5,1,Psychotherapist,,Orce Nikolov 190 - 3/4  Skopje 1000  North Macedonia,2C45+C3 Skopje North Macedonia,institutsinergija.com,+389 70 257 783,9AM-2PM 5-9PM,9AM-2PM 5-9PM,9AM-2PM 5-9PM,9AM-2PM 5-9PM,9AM-2PM 5-9PM,Closed,Closed,,FALSE,42.0060625,21.4076875,,2020-11-09T09:34:50.086Z
Polyclinic Dr Lozankovski,,4,4,Doctor,,Veljko Vlahovic 16 a-1  Skopje 1000  North Macedonia,XCWG+CV Skopje North Macedonia,lozankovski.com.mk,+389 2 312 0017,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,TRUE,41.9960625,21.4271875,,2020-11-09T09:34:51.723Z
Neokorteks-Centar za Psihoterapija Psihodijagnostika Trening i Edukacija,,5,11,Psychologist,,Bul. Jane Sandanski Br. 11 1/25 MK  Skopje 1000  North Macedonia,XFQ6+W4 Skopje North Macedonia,neocortex.mk,+389 75 273 768,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,,TRUE,41.9898125,21.4603125,,2020-11-09T09:34:53.329Z
Ordinanca Stomatologjike F-Dent,,5,1,Dental clinic,,MK  John Kennedy 27-1/1  Skopje 1000  North Macedonia,2C7M+4P Skopje North Macedonia,,+389 70 532 343,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,Closed,Closed,,TRUE,42.0128125,21.4343125,,2020-11-09T09:34:54.888Z
"Dental Polyclinic ""GJORGJIOSKI""",,,,Dental clinic,,Boulevard 3-ta Makedonska Brigada br.31-1/2  Skopje 1000  North Macedonia,XCMX+RW Skopje North Macedonia,spg.mk,+389 2 247 0048,8:30AM-8PM,8:30AM-8PM,8:30AM-8PM,8:30AM-8PM,8:30AM-8PM,Closed,Closed,https://geo1.ggpht.com/cbk?panoid=P9XnHaEVwasG-g7GHZFTGQ&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=27.713522&pitch=0&thumbfov=100,TRUE,41.9845625,21.4498125,,2020-11-09T09:34:56.459Z
PZU Tvoe Zdravje,,4.8,6,Doctor,,CHEDOMIR MINDEROVIK  Skopje  North Macedonia,XCXG+Q8 Skopje North Macedonia,,+389 72 603 232,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,9AM-2PM,Closed,,TRUE,41.9994375,21.4258125,,2020-11-09T09:34:58.205Z
Kognicija,,,,Psychologist,,Varsavska  Skopje 1000  North Macedonia,XCX2+R9 Skopje North Macedonia,kognicija.mk,+389 70 249 494,,,,,,,,,FALSE,41.9995625,21.4009375,,2020-11-09T09:35:00.734Z
Dental office,,,,Dental clinic,,Bul. Partizanski Odredi  Skopje 1000  North Macedonia,2C32+76 Skopje North Macedonia,,+389 2 306 2090,,,,,,,,,FALSE,42.0031875,21.4005625,,2020-11-09T09:35:02.766Z
PZU NUR-Specijalisticka Ordinacija Po Fizikalna Medicina I Rehabilitacija,,5,1,Physical therapy clinic,,Metodija Andonov - Chento  Skopje  North Macedonia,2G65+RX Skopje North Macedonia,,+389 75 461 112,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,,FALSE,42.0120625,21.5099375,,2020-11-09T09:35:04.272Z
Biostart DOOEL Skopje,,,,Diagnostic center,,Ul. Makedonija No. 22/2  Skopje 1000  North Macedonia,XCVJ+XG Skopje North Macedonia,biostart.mk,+389 2 311 1595,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9949375,21.4313125,,2020-11-09T09:35:05.713Z
NOVA DENTAL GROUP,,4,1,Dental clinic,,Skopje 1000  North Macedonia,2959+5F Skopje North Macedonia,novadental.com.mk,+389 2 206 0666,,,,,,,,,FALSE,42.0079375,21.3686875,,2020-11-09T09:35:07.177Z
PZU ANADENT D-R GENCHOVSKA,,5,2,Dental clinic,,Sava Kovachevikj  Portokalova zgrada Ilinden Cesma  Kisela voda br1 lamela 1  lokal 3  Skopje 1000 Skopje MK  1000  North Macedonia,XCPQ+2H Skopje North Macedonia,,+389 78 335 010,11:30AM-7:30PM,11:30AM-7:30PM,11:30AM-7:30PM,11:30AM-7:30PM,9AM-5PM,Closed,Closed,,TRUE,41.9850625,21.4389375,,2020-11-09T09:35:08.998Z
Medodent Dental Clinic,,,,Dental clinic,,Arhiepiskop Dositej 18a  Skopje 1000  North Macedonia,2CCQ+4X Skopje North Macedonia,,+389 2 261 4722,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-2PM,Closed,,FALSE,42.0203125,21.4399375,,2020-11-09T09:35:10.597Z
Mediana Dental,,5,8,Dental clinic,,Salvador Aljende 73/1  Todor Aleksandrov 85/1  Skopje 1000  North Macedonia,XCMC+8W Skopje North Macedonia,medianadental.com,+389 2 317 6003,Open 24 hours,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,12-5PM,Closed,https://lh5.googleusercontent.com/p/AF1QipNQuOYdxIozUkoMZeJceWYlfmqUV7av11QVeRI-=w408-h272-k-no,TRUE,41.9833125,21.4223125,,2020-11-09T09:35:12.097Z
Dento-Medical,,5,1,Dental clinic,,Karposh  Skopje 1000  North Macedonia,293P+J3 Skopje North Macedonia,,,,,,,,,,,FALSE,42.0040625,21.3851875,,2020-11-09T09:35:13.552Z
VEGA Smile Solutions,,5,6,Dental clinic,,MK  Kozara 33  Skopje 1000  North Macedonia,XCR9+G2 Skopje North Macedonia,vega.mk,+389 2 321 0222,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,,TRUE,41.9913125,21.4175625,,2020-11-09T09:35:14.991Z
Dr. Dzambazovski Clinic,,,,Medical clinic,,ul.52  Volkovo  North Macedonia,28MR+VX Volkovo North Macedonia,,,,,,,,,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,42.0346875,21.3424375,,2020-11-09T09:35:16.467Z
PZU Helio Medika 2,,5,1,Mental health service,,Bul J.Sandanski 59 Skopje MK  1000  North Macedonia,XCW3+RF Skopje North Macedonia,business.site,+389 2 245 5884,,,,,,,,,FALSE,41.9970625,21.4036875,,2020-11-09T09:35:18.059Z
Dr. Nedevi,,4,1,Dental clinic,,MK  Stiv Naumov 102-б  Skopje 1000  North Macedonia,XCRP+4J Skopje North Macedonia,fb.me,+389 70 255 231,9AM-4PM,9AM-4PM,9AM-4PM,9AM-4PM,9AM-4PM,9AM-12PM,Closed,,FALSE,41.9903125,21.4365625,,2020-11-09T09:35:20.111Z
Slavej,,,,Orthotics & prosthetics service,,Vasil Gjorgov 47  Skopje 1000  North Macedonia,XCV6+7H Skopje North Macedonia,slavej.mk,+389 2 321 7633,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,,FALSE,41.9931875,21.4114375,,2020-11-09T09:35:21.851Z
Centar za Bioinformatika,,5,14,Hospital,,Todor Aleksandrov 111  Skopje 1000  North Macedonia,XCG4+7M Skopje North Macedonia,bioinformatics.mk,+389 78 364 499,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,,TRUE,41.9756875,21.4066875,,2020-11-09T09:35:24.007Z
Pro-Ortos Medical,,,,Orthotics & prosthetics service,,MK  Mother Teresa 35 lok.1  Skopje 1000  North Macedonia,XCRC+5R Skopje North Macedonia,business.site,+389 75 276 357,,,,,,,,,TRUE,41.9904375,21.4220625,,2020-11-09T09:35:24.931Z
Dentina,,5,1,Dental clinic,,MK  Resenska 3  Skopje 1000  North Macedonia,2CCR+2F Skopje North Macedonia,,+389 2 263 5222,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,Closed,,TRUE,42.0200625,21.4411875,,2020-11-09T09:35:26.462Z
Medika Centar,,5,1,Vascular surgeon,,Skupi 22  Skopje 1000  North Macedonia,299M+63 Skopje North Macedonia,,+389 2 309 5090,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,,TRUE,42.0180625,21.3826875,,2020-11-09T09:35:27.956Z
"Dental clinic with laboratory ""DENTICIJA""",,,,Dental clinic,,MK  Vasil Gjorgov 18/2-5  Skopje 1000  North Macedonia,XCV9+48 Skopje North Macedonia,,+389 2 311 8435,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-1PM,Closed,,TRUE,41.9928125,21.4183125,,2020-11-09T09:35:29.584Z
DrAfrim,,2,1,Dental clinic,,Skopje 1000  North Macedonia,2C4R+5M Skopje North Macedonia,drafrim.com,+389 2 261 8614,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,Closed,Closed,,FALSE,42.0054375,21.4416875,,2020-11-09T09:35:31.393Z
Eterna LHC,,5,21,Dental clinic,,Orce Nikolov 190 1/1  Skopje 1000  North Macedonia,2C44+8X Skopje North Macedonia,eternalhc.mk,+389 2 309 1470,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,9AM-2PM,Closed,,TRUE,42.0058125,21.4074375,,2020-11-09T09:35:34.243Z
